snapshot_id,captured_at_utc,rank,appid,title,release_text,price_text,game_url,page_number,position_on_page
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,1,1422450,Deadlock,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1422450/Deadlock/,1,1
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,2,2719590,Light No Fire,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2719590/Light_No_Fire/,1,2
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,3,1774880,Blight: Survival,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1774880/Blight_Survival/,1,3
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,4,2769570,Fable,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2769570/Fable/,1,4
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,5,2109770,Kingmakers,Coming soon,Free,https://store.steampowered.com/app/2109770/Kingmakers/,1,5
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,6,2050420,ARK 2,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2050420/ARK_2/,1,6
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,7,1846700,Witchbrook,2026,Unpriced (Coming Soon),https://store.steampowered.com/app/1846700/Witchbrook/,1,7
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,8,4165910,Steam Machine,Coming soon,Free,https://store.steampowered.com/app/4165910/Steam_Machine/,1,8
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,9,2381520,Unrecord,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2381520/Unrecord/,1,9
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,10,4199910,"Total War: WARHAMMER 40,000",To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/4199910/Total_War_WARHAMMER_40000/,1,10
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,11,4165890,Steam Frame,Coming soon,Free,https://store.steampowered.com/app/4165890/Steam_Frame/,1,11
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,12,1757350,ILL,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/1757350/ILL/,1,12
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,13,1297900,Gothic 1 Remake,"Jun 5, 2026",$49.99,https://store.steampowered.com/app/1297900/Gothic_1_Remake/,1,13
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,14,4115450,Phantom Blade Zero,"Sep 8, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/4115450/Phantom_Blade_Zero/,1,14
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,15,3751260,The Blood of Dawnwalker,"Sep 2, 2026",$69.99,https://store.steampowered.com/app/3751260/The_Blood_of_Dawnwalker/,1,15
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,16,1805110,Solarpunk™,"Jun 8, 2026",Unpriced (Coming Soon),https://store.steampowered.com/app/1805110/Solarpunk/,1,16
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,17,2873440,Chrono Odyssey,To be announced,Unpriced (Coming Soon),https://store.steampowered.com/app/2873440/Chrono_Odyssey/,1,17
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,18,3768760,007 First Light,"May 27, 2026",$69.99,https://store.steampowered.com/app/3768760/007_First_Light/,1,18
ad1fe86b-b75c-4d2e-8dc3-23d7f235819e,2026-05-21T14:25:41.356270+00:00,19,2215200,LEGO® Batman™: Legacy of the Dark Knight,"May 22, 2026",$69.99,https://store.steampowered.com/app/2215200/LEGO_Batman_Legacy_of_the_Dark_Knight/,1,19
